image_name,label,x,y,width,height,confidence
potholes0.jpg,car,0.196892146,0.28051978,0.059299521,0.067356415,0.760259628
potholes0.jpg,car,0.446441632,0.271143809,0.091280557,0.097672373,0.71890378
potholes0.jpg,car,0.283158202,0.245551467,0.064862452,0.040180206,0.551250279
potholes0.jpg,car,0.091204852,0.269632902,0.046722457,0.0536393,0.446501315
potholes0.jpg,car,0.830768833,0.299705381,0.05910204,0.043393862,0.419828653
potholes0.jpg,car,0.355797406,0.240173806,0.071080394,0.056815289,0.347790807
potholes0.jpg,car,0.199353307,0.236225516,0.033538073,0.035450518,0.339823991
potholes0.jpg,car,0.356665242,0.257362688,0.069354318,0.039335202,0.285239726
potholes0.jpg,car,0.034226846,0.141287271,0.027732112,0.053367309,0.274031758
potholes0.jpg,pothole,0.313333333,0.776666667,0.137777778,0.096666667,
potholes0.jpg,pothole,0.446666667,0.73,0.082222222,0.056666667,
potholes0.jpg,pothole,0.193333333,0.573333333,0.133333333,0.08,
potholes0.jpg,pothole,0.402222222,0.57,0.068888889,0.046666667,
potholes0.jpg,pothole,0.524444444,0.583333333,0.08,0.033333333,
potholes0.jpg,pothole,0.668888889,0.576666667,0.048888889,0.033333333,
potholes0.jpg,pothole,0.513333333,0.563333333,0.117777778,0.026666667,
potholes0.jpg,pothole,0.388888889,0.473333333,0.084444444,0.046666667,
potholes0.jpg,pothole,0.173333333,0.47,0.035555556,0.023333333,
potholes0.jpg,pothole,0.273333333,0.483333333,0.064444444,0.04,
potholes0.jpg,pothole,0.342222222,0.433333333,0.031111111,0.023333333,
potholes0.jpg,pothole,0.711111111,0.72,0.195555556,0.1,
potholes1.jpg,car,0.178865477,0.033607498,0.397967726,0.345452011,0.813778937
potholes1.jpg,truck,0.608214647,0.086190574,0.386453092,0.248635188,0.609711647
potholes1.jpg,truck,0.000454232,0.000859827,0.167369708,0.382465094,0.493287474
potholes1.jpg,pothole,0.01,0.47,0.975,0.41,
